nfft64_class0: (1.527775764465332, 0.3520212769508362, 0.3864540159702301, -0.47222423553466797)
nfft64_class1: (1.527775764465332, 0.3520212769508362, 0.3864540159702301, -0.47222423553466797)
nfft64_class2: (1.527775764465332, 0.3520212769508362, 0.3864540159702301, -0.47222423553466797)
nfft128_class0: (1.691104769706726, 0.42361754179000854, 0.4562284052371979, -0.3088952302932739)
nfft128_class1: (1.691104769706726, 0.42361754179000854, 0.4562284052371979, -0.3088952302932739)
nfft128_class2: (1.691104769706726, 0.42361754179000854, 0.4562284052371979, -0.3088952302932739)
nfft256_class0: (1.8206348419189453, 0.49090319871902466, 0.520081639289856, -0.1793651580810547)
nfft256_class1: (1.8206348419189453, 0.49090319871902466, 0.520081639289856, -0.1793651580810547)
nfft256_class2: (1.8206348419189453, 0.49090319871902466, 0.520081639289856, -0.1793651580810547)
nfft512_class0: (1.9418706893920898, 0.5640262365341187, 0.5905556678771973, -0.058129310607910156)
nfft512_class1: (1.9418706893920898, 0.5640262365341187, 0.5905556678771973, -0.058129310607910156)
nfft512_class2: (1.9418706893920898, 0.5640262365341187, 0.5905556678771973, -0.058129310607910156)
nfft1024_class0: (2.0298256874084473, 0.6454548835754395, 0.6706411242485046, 0.029825806617736816)
nfft1024_class1: (2.0298256874084473, 0.6454548835754395, 0.6706411242485046, 0.029825806617736816)
nfft1024_class2: (2.0298256874084473, 0.6454548835754395, 0.6706411242485046, 0.029825806617736816)
